album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Taylor Swift,place in this world,False,False,place in this world,32,NONE,C#-G#-D#-Fm-C#,NONE,Fm-C#-G#-D#,NONE,G#-D#-C#-D#-Fm-C#-G#-D#,C#-G#-D#-Fm
Folklore,cardigan,True,False,cardigan,89,NONE,Fm-A#,NONE,D#-A#-G#-A#,Fm-A#-G#-A#,G#-Cm-A#-G#,NONE
Folklore,hoax,False,False,hoax,81,NONE,A#m-G#-C#-D#,NONE,Fm-A#m-D#-G#,NONE,A#m-G#-C#-D#,G#-C#-D#-G#-Fm-A#m-D#-G#
Fearless (Taylor's Version),don’t you (taylor's version) (from the vault),False,False,don’t you taylors version from the vault,66,D#-A#-Cm-G#,D#-A#-Cm-G#-F##m,NONE,D#-A#-Fm-G#,NONE,Fm-F##m-G#-A#-G#,Cm-G#
Fearless (Taylor's Version),breathe (taylor's version),False,False,breathe taylors version,70,C#-G#-F#,C#-G#-F#,F#-C#-G#-A#m,F#-C#-G#-A#m,NONE,A#m-F#-C#-G#,F#-C#-G#-A#m
Taylor Swift,stay beautiful,False,False,stay beautiful,31,G#-C#add9-D#-Fm-C#-D#sus4-D#sus2,C#add9-D#sus4-G#-D#-Fm,A#-C#-D#,G#-Fm-C#-D#sus4-D#-D#sus2-D#,NONE,Fm-C#-G#-D#-C#,C#-D#sus4-D#-D#sus2-D#-G#
Evermore,coney island,False,False,coney island,51,Cm-C#-D#-Fm-C#,Cm-C#-D#-Fm-C#,NONE,Cm-C#-D#-Cm,NONE,Cm-C#-D#,Fm-C#-G#-Cm
1989 (Taylor's Version),wonderland (taylor's version),False,False,wonderland taylors version,1,D#,D#-Cm-D#-Cm,G#-Cm-A#-Cm-G#-D#-A#,G#-D#-A#-Cm,G#-D#-A#-Cm,A#-Cm-G#-D#,NONE
1989 (Taylor's Version),wildest dreams (taylor's version),False,False,wildest dreams taylors version,11,C#-Fm-D#,C#-Fm-D#,Fm-D#-C#-Fm,G#-D#-A#m-C#,NONE,G#-D#-A#m-C#,NONE
Fearless (Taylor's Version),the best day (taylor's version),True,False,the best day taylors version,59,C#-A#m-F#-G#,C#-A#m-F#-G#,NONE,F#-G#-C#-G#-A#M,NONE,F#-A#m-G#-F#-C#-G#,NONE
Taylor Swift,i'm only me when i'm with you,False,False,im only me when im with you,34,G#,G#-D#-C#-Fm-A#m-D#,C#-Fm-A#m-D#,G#-D#-A#m-C#-G#-C#-D#,NONE,Fm-C#-A#m-C#,C#-D#-A#m-
Folklore,mad woman,False,False,mad woman,94,Fm-G#-D#,Cm-D#-A#-A#-Cm-D#-A#-Fm-G#-D#,G#-D#-A#-G#-D#,G#-Fm-D#-G#-D#-A#,NONE,G#-Fm-D#-G#-D#-A#,A#-G#-Fm-Cm-G#-D#-A#
Folklore,epiphany,False,False,epiphany,83,C#-G#-F#,C#-G#-A#m-F#,NONE,G#-A#m-F#-C#,NONE,F#-C#-A#m-F#-C#-G#,D#m-F#-C#-G#
Evermore,evermore,False,False,evermore,52,C#-F#-C#-F#,C#-F#-C#-F#,NONE,C#-F#-C#-F#,F#,F#-G#-A#m,F#-C#
