album,song_title,writers,capo,intro_chords,verse_chords,verse_lyrics,pre_chorus_chords,pre-chorus_lyrics,chorus_chords,chorus_lyrics,post_chorus_chords,Post_Chorus_Lyrics,bridge_chords,bridge_lyrics,outro_chords,outro_lyrics,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Folklore,exile (featuring bon iver),Taylor Swift  William Bowery  Justin Vernon,4,D-Bm,D-Bm,I can see you standing  honey/With his arms around your body/Laughin'  but the joke's not funny at all/And it took you five whole minutes/To pack us up and leave me with it/Holdin' all this love out here in the hall,NONE,NONE,G-A-Bm-D,I think I've seen this film before/And I didn't like the ending/You’re not my homeland anymore/So what am I defending now?/You were my town  now I'm in exile  seein' you out/I think I've seen this film before,D-Bm-D-Bm,Ooh  ooh  ooh,Bm-A-G-D,So step right out  there is no amount/Of crying I can do for you/All this time/We always walked a very thin line/You didn't even hear me out (You didn't even hear me out)/You never gave a warning sign (I gave so many signs)/All this time/I never learned to read your mind (Never learned to read my mind)/I couldn't turn things around (You never turned things around)/‘Cause you never gave a warning sign (I gave so many signs)/So many signs  so many signs/You didn't even see the signs,Bm-A-G-D,So step right out  there is no amount/Of crying I can do for you/All this time/We always walked a very thin line/You didn't even hear me out (Didn't even hear me out)/You never gave a warning sign (I gave so many signs)/All this time/I never learned to read your mind (Never learned to read my mind)/I couldn't turn things around (You never turned things around)/‘Cause you never gave a warning sign (I gave so many signs)/You never gave a warning sign (All this time)/(So many times) I never learned to read your mind/(So many signs) I couldn't turn things around (I couldn't turn things around)/‘Cause you never gave a warning sign (You never gave a warning sign)/You never gave a warning sign/Ah  ah,False,False,exile featuring bon iver,82,F#-D#m,F#-D#m,NONE,B-C#-D#m-F#,F#-D#m-F#-D#m,D#m-C#-B-F#,D#m-C#-B-F#
RED (Taylor's Version),nothing new (taylor's version) (from the vault),Taylor Swift,0,NONE,C-Am-Em-F-G,They tell you while you're young/‘Girls go out and have your fun’/Then they hunt and slay the ones who actually do it/Criticize the way you fly/When you're soaring through the sky/Shoot you down and then they sigh/And say 'She looks like she's been through it’,F-G,Lord what will become of me/Once I've lost my novelty?,F-G-C-G-Am-G-C,I've had too much to drink tonight/And I know it's sad but this is what I think about/And I wake up in the middle of the night/It’s like I can feel time moving/How can a person know everythin' at eighteen/But nothin' at twenty-two?/And will you still want me/When I'm nothing new?NONE,NONE,NONE,F-G-C-Am-Em-F,I know someday I'm gonna meet her it's a fever dream/The kind of radiance you only have at seventeen/She’ll know the way and then she'll say she got the map from me/I’ll say I'm happy for her then I'll cry myself to sleep/Oh woah oh (Oh)/Oh woah oh woah oh (Oh),NONE,NONE,False,False,nothing new taylors version from the vault,149,NONE,C-Am-Em-F-G,F-G,F-G-C-G-Am-G-C,NONE,F-G-C-Am-Em-F,NONE
Fearless (Taylor's Version),the best day (taylor's version),Taylor Swift,1,C-Am-F-G,C-Am-F-G,I’m five years old  it's gettin' cold  I've got my big coat on/I hear your laugh and look up smilin' at you  I run and run/Past the pumpkin patch and the tractor rides  look  now the sky is gold/ I hug your legs and fall asleep on the way home,NONE,NONE,F-G-C-G-AM,I don't know why all the trees change in the fall/ But I know you're not scared of anything at all/ Don't know if Snow White's house is near or far away/But I know I had the best day with you today,NONE,NONE,F-Am-G-F-C-G,I have an excellent father  his strength is making me stronger/God smiles on my little brother  inside and out  he's better than I am/I grew up in a pretty house and I had space to run/And I had the best days with you,NONE,NONE,True,False,the best day taylors version,59,C#-A#m-F#-G#,C#-A#m-F#-G#,NONE,F#-G#-C#-G#-A#M,NONE,F#-A#m-G#-F#-C#-G#,NONE
RED (Taylor's Version),ronan (taylor's version),Taylor Swift Maya Thompson,0,C-Am-F,C-Am-F-G,I remember your bare feet down the hallway/I remember your little laugh/Race cars on the kitchen floor plastic dinosaurs/I love you to the Moon and back/I remember your blue eyes lookin' into mine/Like we had our own secret club/I remember you dancin' before bedtime/Then jumpin' on me waking me up/I can still feel you hold my hand little man/And even the moment I knew/You fought it hard like an army guy/Remember I leaned in and whispered to you,NONE,NONE,F-G-C-Am-F,Come on baby with me/We’re gonna fly away from here/You were my best four years’,F-Am-G,What if I'm standin' in your closet trying to talk to you?/And what if I kept the hand-me-downs you won't grow into?/And what if I really thought some miracle would see us through?/And what if the miracle was even gettin' one moment with you?,C-Am-F-G,I remember your bare feet down the hallway/I love you to the Moon and back,NONE,NONE,False,False,ronan taylors version,150,C-Am-F,C-Am-F-G,NONE,F-G-C-Am-F,F-Am-G,C-Am-F-G,NONE
Lover,the man,Taylor Swift Joel Little,0,NONE,F-G-C-Am,I would be complex  I would be cool/They’d say I played the field before I found someone to commit to/And that would be okay for me to do/Every conquest I had made would make me more of a boss to you,F-G-C-Am,I'd be a fearless leader/I'd be an alpha type/When everyone believes ya/What’s that like?,F-G-C-Am,I'm so sick of running as fast as I can/Wondering if I'd get there quicker if I was a man/And I'm so sick of them coming at me again/'Cause if I was a man  then I'd be the man/I’d be the man/I’d be the man,NONE,NONE,F-G-C-Am,What’s it like to brag about drinking and dollars/And getting bitches and models?/And it's all good if you're bad/And it's okay if you're mad/If I was out flashing my dollars  I'd be a bitch not a baller/They'd paint me out to be bad/So  it's okay that I'm mad,NONE,NONE,False,False,the man,105,NONE,F-G-C-Am,F-G-C-Am,F-G-C-Am,NONE,F-G-C-Am,NONE
Evermore,cowboy like me,Taylor Swift  Aaron Dessner,0,NONE,Dm-G-C-F,And the tennis court was covered up/With some tent-like thing/  And you asked me to dance/But I said  'Dancin' is a dangerous game’/ Oh  I thought/This is gonna be one of those things/  Now I know/I’m never gonna love again,F-C-F-G-Dm-G,I’ve got some tricks up my sleeve/Takes one to know one/You’re a cowboy like me,F-G-C,Perched in the dark/Tellin’ all the rich folks anything they wanna hear/Like it could be love/I could be the way forward/Only if they pay for it/You’re a bandit like me/Eyes full of stars/Hustling for the good life  never thought I'd meet you here/It could be love/We could be the way forward/And I know I'll pay for it,NONE,NONE,Am-Em-G-D,And the skeletons in both our closets/Plotted hard to fuck this up/And the old men that I've swindled/Really did believe I was the one/And the ladies lunchin' have their stories about/When you passed through town/Oh  but that was all before I locked it down,G-C-C-F-G,And I'm never gonna love again/I’m never gonna love again/I’m never gonna love again,True,False,cowboy like me,42,NONE,Dm-G-C-F,F-C-F-G-Dm-G,F-G-C,NONE,Am-Em-G-D,G-C-C-F-G
The Tortured Poets Department,i can do it with a broken heart,Taylor Swift Jack Antonoff,0,NONE,C-F,I can read your mind/She's having the time of her life/There in her glittering prime/The lights refract sequin stars off her silhouette every night/I can show you lies/(One two three four),Am-F-C,Cause I'm a real tough kid/I can handle my shit/They said 'Babe you gotta fake it till you make it' And I did/Lights cAmera bitch smile/Even when you wanna die/He said he'd love me all his life,F-G-C,I'm so depressed I act like it's my birthday every day/I’m so obsessed with him but he avoids me like the plague/I cry a lot but I Am so productive it's an art/You know you're good when you can even do it with a broken heart,NONE,NONE,NONE,NONE,F-G-C-Bb-C-Am-F-G,You know you're good when you can even do it with a broken heart/You know you're good/Good/'Cause I'm miserable (Haha)/And nobody even knows,False,False,i can do it with a broken heart,212,NONE,C-F,Am-F-C,F-G-C,NONE,NONE,F-G-C-Bb-C-Am-F-G
Reputation,this is why we can't have nice things,Taylor Swift Jack Antonoff,0,NONE,N.C-F-Bb,Whooooooo/It was so nice throwing big parties/Jump into the pool from the balcony/Everyone swimming in a champagne sea  (whooooo)/And there are no rules when you show up here/Bass beat rattling the chandelier/Feeling so Gatsby for that whole year,Gm-C,"So why'd you have to rain on my parade?/I’m shaking my head, I'm locking the gates",F-Dm-Bb-C,This is why we can't have nice things  dar-ling/Because you break them/I had to take them awaayayayay/This is why we can't have nice things  ho-ney/Did you think I wouldn't hear all the things you said about meeEeEeeEeEe?/This is why we can't have nice things,NONE,NONE,F-Bb-C,Here’s a toast to my real friends/They don't care about that he-said-she-said/And here's to my baby/He ain't reading what they call me lately/And here's to my momma/Had to listen to all this drama/And here's to you/Cause forgiveness is a nice thing to do,NONE,NONE,False,False,this is why we cant have nice things,178,NONE,N.C-F-Bb,Gm-C,F-Dm-Bb-C,NONE,F-Bb-C,NONE
Reputation,end game,Taylor Swift Max Martin Shellback Ed Sheeran Nayvadius Wilburn,0,CHORUS,F-C-G,I hit you like bang  we tried to forget it  but we just couldn’t/And I bury hatchets but I keep maps of where I put ‘em/Reputation precedes me  they told you I'm crazy/I swear I don't love the drama  it loves me/And I can't let you go  your hand prints on my soul/It’s like your eyes are liquor  it's like your body is gold/You’ve been calling my bluff on all my usual tricks/So here's a truth from my red lips,F-C-Dm-Em,"I don't wanna touch you, I don't wanna be/Just another ex love you don't wanna see/I don’t wanna miss you (I don’t wanna miss you) like the other girls do/I don't wanna hurt you, I just wanna be/Drinking on a beach with you all over me",F-C-G-F-C-N.C,I wanna be your end game/I wanna be your first string/I wanna be your A-Team/I wanna be your end game  end game,NONE,NONE,NONE,NONE,NONE,NONE,False,False,end game,172,CHORUS,F-C-G,F-C-Dm-Em,F-C-G-F-C-N.C,NONE,NONE,NONE
The Tortured Poets Department,my boy only breaks his favorite toys,Taylor Swift,0,NONE,F-Am-Em-F,Oh here we go again/The voices in his head/Called the rain to end our days of wild/The sickest army doll/Purchased at the mall/Rivulets descend my plastic smile,F-G,But you should've seen him when he first got me,F-C-G-Em,My boy only breaks his favorite toys toys oh-oh-oh-oh-oh/I’m queen of sand castles he destroys oh oh-oh-oh-oh-oh/'Cause it fit too right puzzle pieces in the dead of night/I should've known it was a matter of time oh oh-oh-oh-oh-oh/My boy only breaks his favorite toys oh oh-oh-oh,NONE,NONE,F-C-G-Am,(Oh-oh-oh oh-oh-oh)/Once I fix me (Oh-oh-oh oh-oh-oh)/He's gonna miss me (Oh-oh-oh oh-oh-oh)/Once I fix me (Oh-oh-oh oh-oh-oh)/He's gonna miss me,C-G-DM-F,Just say when I'd play again/He was my best friend/Down at the sandlot/I felt more when we played pretend/Than with all the Kens/‘Cause he took me out of my box (Oh-oh oh-oh),False,False,my boy only breaks his favorite toys,207,NONE,F-Am-Em-F,F-G,F-C-G-Em,NONE,F-C-G-Am,C-G-DM-F
Fearless (Taylor's Version),breathe (taylor's version),Taylor Swift  Colbie Caillat,1,C-G-F,C-G-F,I see your face in my mind as I drive away/‘Cause none of us thought it was gonna end that way/People are people and sometimes we change our minds/But it's killin' me to see you go after all this time,F-C-G-Am,And we know it's never simple  never easy/ Never a clean break  no one here to save me/You’re the only thing I know like the back of my hand,F-C-G-Am,And I can't breathe without you  but I have to/Breathe without you  but I have to,NONE,NONE,Am-F-C-G,It's 2 AM  feelin' like I just lost a friend/Hope you know it's not easy  easy for me/It’s 2 AM  feelin' like I just lost a friend/Hope you know this ain't easy  easy for me,F-C-G-Am,I'm sorry  I'm sorry (Mmm)  I'm sorry (Yeah  yeah)  I'm sorry/ I'm sorry  I'm sorry (Ooh)  I'm sorry,False,False,breathe taylors version,70,C#-G#-F#,C#-G#-F#,F#-C#-G#-A#m,F#-C#-G#-A#m,NONE,A#m-F#-C#-G#,F#-C#-G#-A#m
Taylor Swift,cold as you,Taylor Swift Liz Rose,0,Dm-C-Bb-Dm-C-F,F-C-Dm-Bb,You have a way of coming easily to me/And when you take you take the very best of me/So I start a fight cause I need to feel something/And you do what you want cause I’m not what you wanted,NONE,NONE,F-C-Em-Bb,Oh what a shame what a rainy ending given to a perfect day/Just walk away ain’t no use defending words that you will never say/And now that I’m sitting here thinking it thinking it through/I’ve never been anywhere cold as you,NONE,NONE,Dm-C-Bb-C,You never did give a damn thing honey but I cried cried for you/And I know you wouldn’t have told nobody if I died died for you,NONE,NONE,False,False,cold as you,28,Dm-C-Bb-Dm-C-F,F-C-Dm-Bb,NONE,F-C-Em-Bb,NONE,Dm-C-Bb-C,NONE
RED (Taylor's Version),i bet you think about me (taylor's version) (from the vault),Taylor Swift Lori McKenna,0,NONE,C-Em-Am-G-F-G,3 AM and I'm still awake I'll bet you're just fine/Fast asleep in your city that's better than mine/And the girl in your bed has a fine pedigree/And I'll bet your friends tell you she's better than me huh,NONE,NONE,F-C-Em-Am-G-F,Mr. Superior Thinkin’/Do you have all the space that you need?/I don't have to be your shrink to know that you'll never be happy/And I bet you think about me,G-C-EmAm-G-F-G,I bet you think about me yes/I bet you think about me,F-C-G-Am-G-F,Oh block it all out/The voices so loud sayin’/'Why did you let her go?’/Does it make you feel sad/That the love that you're lookin' for/Is the love that you had?,G-C-Em-Am-G-F,I bet you think about me when you're out/At your cool indie music concerts every week/I bet you think about me in your house/With your organic shoes and your million-dollar couch/I bet you think about me when you say/‘Oh my god she's insane she wrote a song about me’/I bet you think about me,True,False,i bet you think about me taylors version from the vault,158,NONE,C-Em-Am-G-F-G,NONE,F-C-Em-Am-G-F,G-C-EmAm-G-F-G,F-C-G-Am-G-F,G-C-Em-Am-G-F
Midnights,sweet nothing,Taylor Swift William Bowery,0,F-C-Dm-C,F-C-Dm-C,I spy with my little tired eye/Tiny as a firefly/A pebble that we picked up last July/ Down deep inside your pocket/We almost forgot it/Does it ever miss Wicklow sometimes?/Ooh ooh,NONE,NONE,F-C-Dm-C,They said the end is comin’/Everyone’s up to somethin’/I find myself runnin' home to your sweet nothings/Outside they’re push and shovin’/You're in the kitchen hummin’/All that you ever wanted from me was sweet nothin’,NONE,NONE,F-Em-Dm-C,Industry disruptors and soul deconstructors/And smooth-talking hucksters out glad-handing each other/And the voices that implore 'You should be doing more ‘/To you I can admit that I’m just too soft for all of it/Ooh,NONE,NONE,False,False,sweet nothing,121,F-C-Dm-C,F-C-Dm-C,NONE,F-C-Dm-C,NONE,F-Em-Dm-C,NONE
Evermore,long story short,Taylor Swift  Aaron Dessner,0,C,F-C_Am-G,Fatefully/I tried to pick my battles 'til the battle picked me/Misery/Like the war of words I shouted in my sleep/And you passed right by/I was in the alley  surrounded on all sides/The knife cuts both ways/If the shoe fits  walk in it 'til your high heels break,NONE,NONE,F-C-Am-G-F,And I fell from the pedestal/Right down the rabbit hole/Long story short  it was a bad time/Pushed from the precipice/Clung to the nearest lips/Long story short  it was the wrong guy,C-Am-G-C-F-Em-C,Now I'm all about you/  I'm all about you  ah/Yeah  yeah/I’m all about you  ah/Yeah  yeah,Am-Em-Dm-Am-Em-F-G,No more keepin' score/Now I just keep you warm (Keep you warm)/No more tug of war/Now I just know there's more (Know there's more)/No more keepin' score/Now I just keep you warm (Keep you warm)/And my waves meet your shore/Ever and evermore,F-C-Am-G,Long story short  it was a bad time/Long story short  I survived,True,False,long story short,43,C,F-C_Am-G,NONE,F-C-Am-G-F,C-Am-G-C-F-Em-C,Am-Em-Dm-Am-Em-F-G,F-C-Am-G
Lover,i forgot that you existed,Taylor Swift Louis Bell Adam King Feeney,0,NONE,F-Bb-C  F-Bb-C,How many days did I spent thinking about how you did me wrong  wrong  wrong?/Lived in the shade you were throwing till all of my sunshine was gone  gone  gone/And I couldn't get away from you/In my feelings more than Drake  so yeah/Your name on my lips  tongue-tied/Free rent  living in my mind/But then something happened one magical night,NONE,NONE,F-Bb-C,I forgot that you existed/And I thought that it would kill me but it didn’t/And it was so nice/So peaceful and quiet/I forgot that you existed/It isn't love  it isn't hate  it's just indifference/I forgot that you…,NONE,NONE,Bb-Dm-C-C,Sent me a clear message/Taught me some hard lessons/I just forget what they were/It's all just a blur,NONE,NONE,False,False,i forgot that you existed,99,NONE,F-Bb-C  F-Bb-C,NONE,F-Bb-C,NONE,Bb-Dm-C-C,NONE
Reputation,dress,Taylor Swift Jack Antonoff,0,NONE,F-Am-G-C-C,Our secret moments in a crowded room/They got no idea about me and you/There is an indentation in the shape of you/Made your mark on me  a golden tattoo,F-Am-G-C-C,"All of this silence and patience, pining and anticipation/My hands are shaking from holding back from you (ha, ah, ah)/All of this silence and patience, pining and desperately waiting/My hands are shaking from all this, ah, ha, ha, ha-ah",F-Am-G-C-C,Say my name and everything just stops/ I don’t want you like a best friend/  Only bought this dress so you could take it off  take it off (ha  ha  ha-ah)/  Carve your name into my bedpost/  'Cause I don't want you like a best friend/  Only bought this dress so you could take it off/Take it off (ha  ha  ha-ah),NONE,NONE,F-Am-G-C-C,Flashback when you met me  your buzzcut and my hair bleached/Even in my worst times  you could see the best of me/Flashback to my mistakes  my rebounds  my earthquakes/Even in my worst light  you saw the truth in me/And I woke up just in time  now I wake up by your side/My one and only  my lifeline/I woke up just in time  now I wake up by your side/My hands are shaking  can't explain this  ha  ha  ha  ha,F-Am-G-C-C,There is an indentation in the shape of you/Only bought this dress so you could take it off/  You made your mark on me  golden tattoo/  Only bought this dress so you could take it off,False,False,dress,169,NONE,F-Am-G-C-C,F-Am-G-C-C,F-Am-G-C-C,NONE,F-Am-G-C-C,F-Am-G-C-C
Folklore,the lakes,Taylor Swift  Jack Antonoff,0,D-F#m-Em-Bm,D-F#m-Em-Bm,Is it romantic how all my elegies eulogize me?/I'm not cut out for all these cynical clones/These hunters with cell phones,NONE,NONE,F#m-G-Bm-A,Take me to the Lakes  where all the poets went to die/I don't belong and  my beloved  neither do you/Those Windermere peaks look like a perfect place to cry/I’m setting off  but not without my muse,NONE,NONE,D-F#M-Em-Bm,I want auroras and sad prose/I want to watch wisteria grow right over my bare feet/‘Cause I haven't moved in years/And I want you right here/A red rose grew up out of ice frozen ground/With no one around to tweet it/While I bathe in cliffside pools/With my calamitous love and insurmountable grief,D-F#m-Em-Bm,NONE,False,False,the lakes,91,D-F#m-Em-Bm,D-F#m-Em-Bm,NONE,F#m-G-Bm-A,NONE,D-F#M-Em-Bm,D-F#m-Em-Bm
Lover,london boy,Taylor Swift Jack Antonoff Cautious Clay Sounwave,0,F#-D#m-A#m,F#-D#m-A#m,I love my hometown as much as Motown  I love SoCal/And you know I love Springsteen  faded blue jeans  Tennessee whiskey/But something happened  I heard him laughing/I saw the dimples first and then I heard the accent/They say home is where the heart is/But that's not where mine lives,NONE,NONE,F#-D#m-B-C#m,You know I love a London boy/I enjoy walking Camden Market in the afternoon/He likes my American smile  like a child when our eyes meet/Darling  I fancy you,NONE,NONE,F#-D#m-B-C#,So please show me Hackney/Doesn’t have to be Louis V up on Bond Street/Just wanna be with you/Wanna be with you,BRIDGE,BRIDGE,False,True,london boy,107,F#-D#m-A#m,F#-D#m-A#m,NONE,F#-D#m-B-C#m,NONE,F#-D#m-B-C#,BRIDGE
1989 (Taylor's Version),new romantics (taylor's version),Taylor Swift   Max Martin   Shellback,3,G-Bm-A-Em,G-Bm-A-Em,We’re all bored   we're all so tired of everything/We wait for trains that just aren't comin’/We show off our different scarlet letters/Trust me   mine is better/We’re so young   but we're on the road to ruin/We play dumb   but we know exactly what we're doin’/We cry tears of mascara in the bathroom/Honey   life is just classroom Ah-ah-ah-ah-ah-ah,NONE,NONE,Em-G-D-A,Cause baby   I could build castle/Out of all the bricks they threw at me/And every day is like battle/But every night with us is like dream/Baby   we're the new romantics   come on   come along with me/Heartbreak is the national anthem   we sing it proudly/We are too busy dancin' to get knocked off our feet/Baby   we're the new romantics/The best people in life are free,G-D-A-Em,(Oh   oh   oh-oh   oh) Oh/(Oh   oh   oh-oh   oh) So   come on   come along with me/(Oh   oh   oh-oh   oh) The best people in life are free/(Oh   oh   oh-oh   oh),G-Bm-A-Em-A,Please   take my hand and/Please   take me dancin nd/Please   leave me stranded/It’s so romanti (It's so romantic)/Ah-ah-ah-ah-ah-ah,NONE,NONE,False,False,new romantics taylors version,3,A#-Dm-C-Gm,A#-Dm-C-Gm,NONE,Gm-A#-F-C,A#-F-C-Gm,A#-Dm-C-Gm-C,NONE
The Tortured Poets Department,cassandra,Taylor Swift Aaron Dessner,3,NONE,DM-C-G,I was in my new house placing daydreAms/Patching up the crack along the wall/I pass it and lose track of what I'm saying/'Cause that's where I was when I got the call,DM-C-G,When the first stone's thrown they're screAming/In the streets there's a raging riot/When it's 'Burn the bitch ' they're shrieking/When the truth comes out it's quiet,Em-G-D,So they killed Cassandra first 'cause she feared the worst/And tried to tell the town/So they filled my cell with snakes I regret to say/Do you believe me now?,NONE,NONE,C-Em-D-C-G,They knew they knew they knew the whole time/That I was onto something/The fAmily the pure greed the Christian chorus line,C-Em-D,When the first stone's thrown they're screAming/In the streets there's a raging riot/When it's 'Burn the bitch ' they're shrieking/When the truth comes out it's quiet/It’s so quiet,True,True,cassandra,210,NONE,FM-D#-A#,FM-D#-A#,Gm-A#-F,NONE,D#-Gm-F-D#-A#,D#-Gm-F
Reputation,i did something bad,Taylor Swift Max Martin Shellback,3,Em,Em-G-C-Am-D,I never trust a narcissist/  But they love me/  So I play 'em like a violin/  And I make it look oh-so-easy/ 'Cause for every lie I tell them/  They tell me three/  This is how the world works/  Now all he thinks about is me,Em-D-C-Am-D,"I can feel the flames on my skin/ Crimson red paint on my lips/  If a man talks s**t, then I owe him nothing/  I don't regret it one bit, 'cause he had it coming",Em-G-C-Am,They say I did something baddd/Then why's it feel so good?/  They say I did something baddd/  But why's it feel so  good?/Most fun I ever haddd/  And I'd do it over and over and over again if I  could/  It just felt so  good   good,NONE,NONE,EmG-Bm-C-Am-D,They’re burning all the witches  even if you aren't one/ They got their pitchforks and proof  Their receipts and reasons  They're burning all the witches  even if you aren't one/  So light me up (light me up)  light me up (light me up)/  Light me up  go ahead and light me up (light me up)/  Light me up (light me up)  light me up (light me up) Light me up (light me up)  light me up,Em-G-C-Am-D,So bad  why's it feel so good?/  Why's it feel  why's it feel so good? (bad)/  It just felt so  good   good,False,False,i did something bad,170,Gm,Gm-A#-D#-Cm-F,Gm-F-D#-Cm-F,Gm-A#-D#-Cm,NONE,GmG-Dm-D#-Cm-F,Gm-A#-D#-Cm-F
Folklore,peace,Taylor Swift  Aaron Dessner,3,Em-D-G-D-Em-D-A-D,Em-D-G-D-Em-D-A-D,Our coming-of-age has come and gone/Suddenly  this summer  it's clear/I never had the courage of my convictions/As long as danger is near/And it's just around the corner  darlin’/'Cause it lives in me/No  I could never give you peace,NONE,NONE,Em-D-Em-D,But I'm a fire and I'll keep your brittle heart warm/If your cascade  ocean wave blues come/All these people think love's for show/But I would die for you in secret/The devil's in the details  but you got a friend in me/Would it be enough if I could never give you peace?,NONE,NONE,NONE,NONE,NONE,NONE,False,False,peace,88,Gm-F-A#-F-Gm-F-C-F,Gm-F-A#-F-Gm-F-C-F,NONE,Gm-F-Gm-F,NONE,NONE,NONE
Taylor Swift,place in this world,Taylor Swift Liz Rose Ellis Orrall Angelo Petraglia,1,NONE,C-G-D-Em-C,I don’t know what I want so don’t ask me/Cause I’m still trying to figure it out/Don’t know what’s down this road I’m just walking/Trying to see through the rain coming down/Even though I’m not the only one/Who feels the way I do,NONE,NONE,Em-C-G-D,I’m alone on my own and that’s all I know/I’ll be strong I’ll be wrong oh but life goes on/I’m just a girl trying to find a place in/This world,NONE,NONE,G-D-C-D-Em-C-G-D,Maybe I’m just a girl on a mission/But I’m ready to fly/I’m alone on my own and that’s all I know/I’ll be strong I’ll be wrong oh but life goes on/Oh I’m alone on my own and that’s all I know/Oh I’m just a girl trying to find a place in/This world,C-G-D-Em,Oh I’m just a girl/Oh I’m just a girl/Oh I’m just a girl,False,False,place in this world,32,NONE,C#-G#-D#-Fm-C#,NONE,Fm-C#-G#-D#,NONE,G#-D#-C#-D#-Fm-C#-G#-D#,C#-G#-D#-Fm
Speak Now(Taylor’s Version),castles crumbling taylor's version) (from the vault),Taylor Swift,0,C-C-Em-D,Em-C-G-D,Once  I had an empire in a golden age/I was held up so high  I used to be great/They used to cheer when they saw my face/Now  I fear I have fallen from grace,NONE,NONE,Em-C-G-D,And I feel like my castle's crumbling down/And I watch all my bridges burn to the ground/And you don't want to know me  I will just let you down/You don't wanna know me now,NONE,NONE,NONE,NONE,Em-C-G-D,NONE,True,False,castles crumbling taylors version from the vault,203,C-C-Em-D,Em-C-G-D,NONE,Em-C-G-D,NONE,NONE,Em-C-G-D
Folklore,this is me trying,Taylor Swift  Jack Antonoff,2,G-C,G-C-G-F#m-Em,I've been having a hard time adjusting/I had the shiniest wheels  now they're rusting/I didn't know if you'd care if I came back/I have a lot of regrets about that/Pulled the car off the road to the lookout/Could've followed my fears all the way down/And maybe I don't quite know what to say/But I'm here in your doorway,NONE,NONE,Em-C-G,I just wanted you to know that this is me trying/I just wanted you to know that this is me trying,G-C-G-F#m,At least I'm trying,Em-C-D,And it's hard to be at a party when I feel like an open wound/It’s hard to be anywhere these days when all I want is you/You’re a flashback in a film reel on the one screen in my town,G,At least I'm trying,False,False,this is me trying,92,A-D,A-D-A-G#m-F#m,NONE,F#m-D-A,A-D-A-G#m,F#m-D-E,A
Taylor Swift,should've said no,Taylor Swift,0,Em-C-D-G-Em-C-D,G-D-Em-C,It’s strange to think the songs we used to sing/The smiles the flowers everything... is gone/Yesterday I found out about you/Even now just looking at you... feels wrong/You say that you’d take it all back given one chance/It was a moment of weakness and you said yes,NONE,NONE,Em-C-D-G-D,You should’ve said no you should’ve gone home/You should’ve thought twice before you let it all go/You should’ve know that word bout what you did with her/Would get back to me/And I should’ve been there in the back of your mind/I shouldn’t be asking myself why/You shouldn’t be begging for forgiveness at my feet/You should’ve said no baby and you might still have me,NONE,NONE,Em-C-A,I can’t resist… before you go tell me this/Was it worth it/Was she worth this,NONE,NONE,False,False,shouldve said no,29,Em-C-D-G-Em-C-D,G-D-Em-C,NONE,Em-C-D-G-D,NONE,Em-C-A,NONE
The Tortured Poets Department,the smallest man who ever lived,Taylor Swift Aaron Dessner,3,NONE,G-C-D-Em-C-D,Was any of it true?/Gazing at me starry-eyed/In your Jehovah's Witness suit/Who the fuck was that guy?/You tried to buy some pills/From a friend of friends of mine/They just ghosted you/Now you know what it feels like,NONE,NONE,Em-C-D,And I don't even want you back I just want to know/If rusting my sparkling summer was the goal/And I don't miss what we had but could someone give/A message to the smallest man who ever lived?,NONE,NONE,G-Em-D-C,Were you sent by someone//Who wanted me dead?/Did you sleep with a gun underneath our bed?/Were you writing a book?/Were you a sleeper cell spy?/In fifty years will all this be declassified?,NONE,NONE,False,False,the smallest man who ever lived,231,NONE,A#-D#-F-Gm-D#-F,NONE,Gm-D#-F,NONE,A#-Gm-F-D#,NONE
RED (Taylor's Version),forever winter (taylor's version) (from the vault),Taylor Swift Mark Foster,0,C-G-D,C-G-D,He says he doesn't believe anything much he hears these days/He says 'Why fall in love just so you can watch it go away?’/He spends most of his nights wishing it was how it used to be/He spends most of his flights getting pulled down by gravity,C-G-D,I call just checkin' up on him/He's up 3AM pacin’/He says 'It's not just a phase I'm in’/My voice comes out beggin’,Em-C-D,All this time I didn't know/You were breakin' down/I’d fall to pieces on the floor/If you weren't around/Too young to know it gets better/I’ll be summer sun for you forever/Forever winter if you go,C-Em-D-C,(Ooh ooh ooh)/I’ll be your summer sun forever/(Ooh ooh ooh) At 3AM pacin’/All this time I didn't know/(Ooh ooh ooh) At 5AM wasted/I'd be in pieces on the floor/Forever winter if you go,C-Em-D,If I was standing there in your apartment/I'd take that bomb in your head and disarm it/I'd say 'I love you even at your darkest and/Please don't go’,C-G-D,He says he doesn't believe anything much he hears these days/I say 'Believe in one thing I won't go away’,False,False,forever winter taylors version from the vault,147,C-G-D,C-G-D,C-G-D,Em-C-D,C-Em-D-C,C-Em-D,C-G-D
