Folklore,my tears richochet,Am G Em F,G C Em D,NONE,C Dm Am F,NONE,C Dm Am F,C Dm Am F,FALSE,FALSE,my tears richochet,85,
Folklore,illicit affairs,Bb Gbm D E,F#m Db A,NONE,Dbm D E,NONE,Bb Gbm D E,Gbm D E Bb,FALSE,FALSE,illicit affairs,86,
Folklore,betty,C G Am G F,E Bm B Db,C G Am F,C G Am F,NONE,Am G F C,D A G A,TRUE,FALSE,betty,95,
Folklore,epiphany,C# G# F#,D# G# A# D#,NONE,G# A#m F# C#,NONE,F# C# A#m G#,D#m F# C# G#,FALSE,FALSE,epiphany,83,
Folklore,the lakes,D F#m Em Bm,Cm Gbm D# A#,NONE,F#m G Bm A,NONE,D  Em Bm,D F#m Em Bm,FALSE,FALSE,the lakes,91,
Folklore,the 1,F C F C,C Am F,F C,Am G F C,Am G F C,NONE,NONE,FALSE,FALSE,the 1,84,
Folklore,exile (featuring bon iver),F Dm,Bm A G A,NONE,B C Dm F,F Dm F Dm,Dm C B F,Dm C B F,FALSE,FALSE,exile featuring bon iver,82,
Folklore,mad woman,Fm G# D#,D G Bm,G# D# A# G#,G# Fm D# A#,NONE,G# Fm D# A#,Fm Cm G# D# ,FALSE,FALSE,mad woman,94,
Folklore,mirrorball,G,Cm D# A# Fm,NONE,D G Bm,NONE,D G Bm,G Bm G D,FALSE,FALSE,mirrorball,93,
Folklore,the last great american dynasty,G,Bb B E Dbm,NONE,D G C Am,NONE,Am Em G D,D G C G,FALSE,FALSE,the last great american dynasty,90,
Folklore,invisible string,G F#m Em Bm,A Eb Bb C#m,NONE,D Em G F#m,NONE,Am G D,Am G D,TRUE,FALSE,invisible string,35,
Folklore,peace,Gbm E Bb B,A C#m Bb,,Gbm E Gbm E,NONE,CHORUS,NONE,FALSE,FALSE,peace,88,
Folklore,hoax,NONE,G D Am C,NONE,Fm A#m D# G#,NONE,A#m G# C# D#,Fm A#m D# G#,FALSE,FALSE,hoax,81,
Folklore,august,NONE,C G D,NONE,E Bb Gbm B,NONE,E Bb Gbm B,E Bb Gbm B,FALSE,FALSE,august,80,
Folklore,cardigan,NONE,Bb E B Dbm,NONE,D# A# G# A#,Fm A# G# A#,G# Cm A# G#,NONE,TRUE,FALSE,cardigan,89,
Folklore,seven,NONE,A Eb Bb C#m,NONE,Dm C F G,NONE,Am C G,Am C G C,FALSE,FALSE,seven,87,
Lover,cruel summer,A,D A Bm G,D E C#m F#m,A C#m F#m D,NONE,A C#m F#m D,BRIDGE,FALSE,FALSE,cruel summer,104,
Lover,it's nice to have a friend,Am G,G C Em D C,NONE,NONE,NONE,NONE,Am G,TRUE,FALSE,its nice to have a friend,97,
Lover,i think he knows,Bb Gm,F# D#m A#m,Bb Bb Gm Gm,Eb F Bb Gm,NONE,Bb Dm Dm Eb F,NONE,FALSE,FALSE,i think he knows,100,
Lover,soon you'll get better,C G Am G,E Dbm B B,NONE,C G F G,NONE,Dm C G Am ,NONE,TRUE,FALSE,soon youll get better,109,
Lover,cornelia street,C G F,E Gbm D Bb,G Am F,C G Am F,NONE,G Am F,C G Am F,FALSE,FALSE,cornelia street,111,
Lover,death by a thousand cuts,CHORUS,C G Am F,NONE,E C#m A Bsus4 B,NONE,E G#m A B,C#m F#m Bsus4 B,FALSE,FALSE,death by a thousand cuts,114,
Lover,you need to calm down,D G,C#m B A,D D G,D D G G,NONE,D G G,NONE,FALSE,FALSE,you need to calm down,108,
Lover,london boy,F# D#m A#m,Bb Gm,NONE,F# D#m B C#m,NONE,F# D#m B C#,BRIDGE,FALSE,TRUE,london boy,107,
Lover,miss americana & the heartbreak prince,G A G A,F Dm B C,G Bm A G,G Bm A,NONE,G Bm A,NONE,FALSE,FALSE,miss americana & the heartbreak prince,102,
Lover,lover,G D C Em,A F#m Db Eb,NONE,C G Gm D,NONE,G D Em F,G Em D C,FALSE,FALSE,lover,103,
Lover,afterglow,NONE,Gbm D E Bm,A D E F#m E D,A E Bm D A,NONE,A E Bm,A E Bm D,FALSE,FALSE,afterglow,113,
Lover,me!,NONE,F Am G,C C C C,C Am F G,NONE,N.C N.C,BRIDGE,FALSE,FALSE,me!,110,
Lover,daylight,NONE,Dm Bb F C,NONE,C G Dm F,C G Dm G,C G Dm F,C G Dm F,FALSE,FALSE,daylight,101,
Lover,paper rings,NONE,D A Em G,D A Bm,D G A,D A Bm,E A B E,E A B E,FALSE,FALSE,paper rings,98,
Lover,false god,NONE,C C G Am F,Em7 D7 G D7,G D7 A G,NONE,NONE,G G A D7 G,FALSE,FALSE,false god,112,
Lover,i forgot that you existed,NONE,C Am F,NONE,F Bb C,NONE,Bb Dm C C,NONE,FALSE,FALSE,i forgot that you existed,99,
Lover,the man,NONE,Bb Gm Eb,F G C Am,F G C Am,NONE,F G C Am,NONE,FALSE,FALSE,the man,105,
Lover,the archer,NONE,B F Dm D#,C G Am F,C F Am F,NONE,C G Am F,C F Am F,FALSE,FALSE,the archer,106,
Midnights,paris,C D G Em,Em Em Em Em,C D G,C D G,NONE,C D G,C D G,FALSE,FALSE,paris,120,
Midnights,labyrinth,C F Am F,Eb Bb Cm Bb,Am F Am F,C F Am F,C F Am F,NONE,NONE,FALSE,FALSE,labyrinth,118,
Midnights,maroon,C G Em D,Dm F Am G,NONE,C G Em D,NONE,C G Em D,C G Em D,FALSE,FALSE,maroon,124,
Midnights,would've could've should’ve,D Em Gm,D A Bm G,D Em G D,G D C,NONE,G D C G,BRIDGE,TRUE,FALSE,wouldve couldve should’ve,125,
